time,value
1991-04-01,918278.274986854
1991-07-01,924073.827580498
1991-10-01,890376.928091805
1992-01-01,866419.006695503
1992-04-01,882807.319893587
1992-07-01,890504.187217282
1992-10-01,864627.311044668
1993-01-01,836584.695032064
1993-04-01,846212.141107386
1993-07-01,858467.605932889
1993-10-01,841496.745336522
1994-01-01,820153.497893905
1994-04-01,822467.415268376
1994-07-01,835411.821425667
1994-10-01,829274.973608686
1995-01-01,814774.645119333
1995-04-01,817652.266793316
1995-07-01,825882.762016078
1995-10-01,813128.828712786
1996-01-01,793007.678282104
1996-04-01,791430.149448568
1996-07-01,793142.115317144
1996-10-01,778455.609287709
1997-01-01,762368.814682577
1997-04-01,764459.548580738
1997-07-01,768687.303337056
1997-10-01,757934.07351567
1998-01-01,747373.657972009
1998-04-01,755248.521352626
1998-07-01,763244.560315833
1998-10-01,751921.177436168
1999-01-01,738470.091319222
1999-04-01,743806.118221315
1999-07-01,751763.022310325
1999-10-01,745434.65609649
2000-01-01,739550.898905006
2000-04-01,743922.116545497
2000-07-01,751504.029092058
2000-10-01,750267.576095322
2001-01-01,745479.364929686
2001-04-01,752617.994904401
2001-07-01,760327.421521184
2001-10-01,752508.187982897
2002-01-01,738325.649218384
2002-04-01,737269.72308978
2002-07-01,743235.058700706
2002-10-01,737951.446548928
2003-01-01,727385.878501029
2003-04-01,730206.663829907
2003-07-01,736471.597800061
2003-10-01,732682.931916243
2004-01-01,725201.101583484
2004-04-01,725602.033356583
2004-07-01,735519.555087314
2004-10-01,734150.338403004
2005-01-01,722790.567406337
2005-04-01,724858.646124934
2005-07-01,738398.010104279
2005-10-01,740880.734447747
2006-01-01,735144.707159467
2006-04-01,743697.562887717
2006-07-01,760332.051193895
2006-10-01,764666.0786814
2007-01-01,762538.282083182
2007-04-01,769598.367890467
2007-07-01,779843.678477322
2007-10-01,779901.734807966
2008-01-01,774429.810034623
2008-04-01,776200.389580288
2008-07-01,785814.581846413
2008-10-01,785094.20829379
2009-01-01,775627.012918527
2009-04-01,775082.196582773
2009-07-01,777250.052329892
2009-10-01,770473.848235694
2010-01-01,760750.699675718
2010-04-01,779131.77399837
2010-07-01,782919.488111907
2010-10-01,779109.604836722
2011-01-01,783618.013645849
2011-04-01,788594.154605038
2011-07-01,799190.340313649
2011-10-01,795435.00070363
2012-01-01,786622.229589145
2012-04-01,796894.194936933
2012-07-01,805647.805984164
2012-10-01,797930.474315258
2013-01-01,783263.15737075
2013-04-01,790346.051782001
2013-07-01,794006.921490171
2013-10-01,797004.966859182
2014-01-01,783540.000892693
2014-04-01,798207.484152548
2014-07-01,805475.950920381
2014-10-01,809329.791671368
2015-01-01,802282.526220018
2015-04-01,806958.437401706
2015-07-01,806601.112943716
2015-10-01,808707.389661286
2016-01-01,794044.033037238
2016-04-01,800394.450849837
2016-07-01,806144.358096445
2016-10-01,806425.79464701
2017-01-01,789578.456692019
2017-04-01,810123.964034768
2017-07-01,812349.433602045
2017-10-01,808199.691704717
2018-01-01,796169.704173248
2018-04-01,806452.213213103
2018-07-01,812365.037821938
2018-10-01,814568.201112238
2019-01-01,801061.026087597
2019-04-01,813266.926576906
2019-07-01,814590.151407191
2019-10-01,819230.525441371
2020-01-01,813455.184663268
2020-04-01,800389.550078477
2020-07-01,807468.780310204
2020-10-01,807234.278463115
2021-01-01,790194.067289348
2021-04-01,794722.574065063
2021-07-01,802523.51527625
2021-10-01,807931.127462265
2022-01-01,799845.899712115
2022-04-01,804959.50935398
2022-07-01,812646.506052921
2022-10-01,816422.110799096
2023-01-01,814102.507751991
2023-04-01,822140.937014695
2023-07-01,822745.007684199
2023-10-01,824310.544132127
2024-01-01,810904.900036603
