time,value
2007-04-01,158015.211397193
2007-07-01,168106.666040754
2007-10-01,170798.121276726
2008-01-01,169694.881495066
2008-04-01,170252.376417626
2008-07-01,171837.463294125
2008-10-01,175843.816607927
2009-01-01,174138.145781437
2009-04-01,177116.50813912
2009-07-01,175760.364372744
2009-10-01,178317.556881122
2010-01-01,180170.229306412
2010-04-01,179838.421160294
2010-07-01,177023.850949794
2010-10-01,179135.534614815
2011-01-01,179501.928685665
2011-04-01,179468.477503918
2011-07-01,175193.638003411
2011-10-01,178024.882871282
2012-01-01,180560.373038748
2012-04-01,176663.683982177
2012-07-01,170639.53892211
2012-10-01,168883.892842901
2013-01-01,166258.531875402
2013-04-01,167716.659357237
2013-07-01,166084.565197073
2013-10-01,166055.39552067
2014-01-01,163767.884944026
2014-04-01,165348.595895604
2014-07-01,165508.005681079
2014-10-01,164928.122263403
2015-01-01,163060.447106131
2015-04-01,162717.49530121
2015-07-01,162380.700802153
2015-10-01,162277.991648481
2016-01-01,161257.897195255
2016-04-01,162040.074254128
2016-07-01,162424.652028543
2016-10-01,157854.744850339
2017-01-01,156525.957371967
2017-04-01,158310.739395484
2017-07-01,156078.558940156
2017-10-01,155573.122046597
2018-01-01,155976.432588868
2018-04-01,158311.881328818
2018-07-01,159980.309847883
2018-10-01,158944.024495603
2019-01-01,157507.476899094
2019-04-01,158483.722338569
2019-07-01,159369.796262455
2019-10-01,157850.01543479
2020-01-01,156864.86146915
2020-04-01,170028.164581435
2020-07-01,159057.09310149
2020-10-01,157129.472781163
2021-01-01,154054.340751147
2021-04-01,153695.242418559
2021-07-01,155012.438663313
2021-10-01,153912.778705143
2022-01-01,151083.453853916
2022-04-01,151403.962525104
2022-07-01,153355.769600168
2022-10-01,152725.783904584
2023-01-01,151424.92811904
2023-04-01,152203.29275823
2023-07-01,152618.987888262
2023-10-01,151261.350925476
2024-01-01,150088.78295865
2024-04-01,150754.920732544
2024-07-01,152225.944414055
2024-10-01,152906.799858824
2025-01-01,152702.641848706
2025-04-01,152516.088320298
2025-07-01,154604.354354357
2025-10-01,155840.1536285
2026-01-01,154761.133543217
2026-04-01,155620.086621968
2026-07-01,156778.590009687
2026-10-01,155259.330992087
2027-01-01,153753.807184722
2027-04-01,154308.840052246
2027-07-01,154256.382498636
2027-10-01,152385.709307583
2028-01-01,150636.607195008
2028-04-01,150123.759491593
2028-07-01,150260.564561538
2028-10-01,150092.92279262
2029-01-01,150146.07969535
2029-04-01,150470.810592734
2029-07-01,151298.388861432
2029-10-01,151197.57468648
2030-01-01,151940.257140569
2030-04-01,153596.062110973
2030-07-01,153961.260811732
2030-10-01,153851.658727713
2031-01-01,154957.489162531
2031-04-01,156456.100743937
2031-07-01,156730.839953147
2031-10-01,156735.165023598
2032-01-01,156903.802004654
2032-04-01,157187.852044965
2032-07-01,156157.015064875
2032-10-01,154713.409514527
2033-01-01,153214.512768337
2033-04-01,154042.321889032
2033-07-01,157286.702204482
2033-10-01,157843.530582703
2034-01-01,157403.800872715
2034-04-01,158508.854123988
2034-07-01,160563.717450098
2034-10-01,160736.328313233
2035-01-01,159942.267073434
2035-04-01,159971.098833384
2035-07-01,159702.819012533
2035-10-01,159801.396264399
2036-01-01,160378.380613426
2036-04-01,160789.750586558
