time,value
1991-04-01,32210.5147314774
1991-07-01,31211.151008681
1991-10-01,30409.0401829954
1992-01-01,30760.2158459229
1992-04-01,31004.3893113568
1992-07-01,30162.5462280163
1992-10-01,29064.1231428785
1993-01-01,29382.44840995
1993-04-01,30297.0298787827
1993-07-01,31241.8070035094
1993-10-01,30914.3512654516
1994-01-01,30785.4471189106
1994-04-01,31128.7514616604
1994-07-01,31324.9004518302
1994-10-01,31451.0490890997
1995-01-01,31575.1808693837
1995-04-01,31622.7406311039
1995-07-01,32099.5164660876
1995-10-01,33281.1419840907
1996-01-01,32625.1655732629
1996-04-01,31702.6084410776
1996-07-01,31734.1075880035
1996-10-01,31378.1867282811
1997-01-01,30288.1135895447
1997-04-01,30836.5486621556
1997-07-01,32030.9841560485
1997-10-01,31834.7157971431
1998-01-01,31173.5759558104
1998-04-01,29925.2658241813
1998-07-01,29732.2680632376
1998-10-01,29814.3067498685
1999-01-01,29858.3086895938
1999-04-01,30377.70886205
1999-07-01,30581.9183826624
1999-10-01,30436.0386991085
2000-01-01,29758.3376019857
2000-04-01,29168.1157834977
2000-07-01,29877.7184454765
2000-10-01,30987.5172631349
2001-01-01,30250.2279917851
2001-04-01,29985.7565067738
2001-07-01,31029.4480797816
2001-10-01,30566.207609007
2002-01-01,30117.0165582963
2002-04-01,30744.0392381419
2002-07-01,31324.3327020383
2002-10-01,31169.3085438733
2003-01-01,30495.976942903
2003-04-01,30160.8039061487
2003-07-01,29710.2032820133
2003-10-01,29289.6455782923
2004-01-01,29548.4072466824
2004-04-01,29918.5013526986
2004-07-01,30734.4431334385
2004-10-01,31292.2858178712
2005-01-01,30765.4701365336
2005-04-01,31220.4072289642
2005-07-01,32001.4959977077
2005-10-01,32195.1703196403
2006-01-01,32136.4588980766
2006-04-01,32191.4600763005
2006-07-01,32695.6986022615
2006-10-01,32714.0983989333
2007-01-01,32666.0110750207
2007-04-01,32679.3755175922
2007-07-01,32748.9049006128
2007-10-01,33487.473610018
2008-01-01,34157.2591426497
2008-04-01,34208.559344743
2008-07-01,34282.7188300273
2008-10-01,34230.4461982626
2009-01-01,34047.7822592844
2009-04-01,34039.8633322585
2009-07-01,34617.3500738756
2009-10-01,34893.4775192391
2010-01-01,34522.9348972294
2010-04-01,34673.682304977
2010-07-01,35324.5171938382
2010-10-01,35922.181374884
2011-01-01,36207.0280613078
2011-04-01,36531.3221523599
2011-07-01,36491.5043255206
2011-10-01,37096.4770098823
2012-01-01,36837.5706631274
2012-04-01,36285.4508387247
2012-07-01,37006.675036525
2012-10-01,37157.850611374
2013-01-01,37244.2094097926
2013-04-01,36991.1781973699
2013-07-01,37022.0316920961
2013-10-01,37679.7519367152
2014-01-01,37842.4078816934
2014-04-01,38417.1505826682
2014-07-01,38102.7955387622
2014-10-01,38498.9908754235
2015-01-01,38462.0689066613
2015-04-01,38564.0585372476
2015-07-01,38359.8828432766
2015-10-01,39034.7306492055
2016-01-01,39336.3782354057
2016-04-01,38618.374162229
2016-07-01,38736.6581346249
2016-10-01,39478.5398025466
2017-01-01,39386.3469284136
2017-04-01,39243.8915645048
2017-07-01,39506.3751102653
2017-10-01,39803.9652530953
2018-01-01,40012.0460730951
2018-04-01,39851.5056808231
2018-07-01,40495.6297982213
2018-10-01,39809.9639621152
2019-01-01,39370.1810038956
2019-04-01,40082.2568535736
2019-07-01,40448.0735522549
2019-10-01,40402.5711657727
2020-01-01,40171.7636140472
2020-04-01,39269.4645481987
2020-07-01,39595.5144031692
2020-10-01,40040.208863527
2021-01-01,39401.874887649
2021-04-01,39717.8826506362
2021-07-01,41470.5521477559
2021-10-01,42473.9900022896
2022-01-01,41444.4343776686
2022-04-01,41167.7319930653
2022-07-01,41057.7318303697
2022-10-01,42078.0415897013
2023-01-01,42332.8010059256
2023-04-01,41861.6840282368
2023-07-01,41355.4639682038
2023-10-01,41705.9881601837
2024-01-01,41505.9146127325
2024-04-01,41859.2565643449
2024-07-01,42170.9701396169
2024-10-01,43078.0458944394
2025-01-01,43018.310855804
