time,value
1991-04-01,2680925.95396625
1991-07-01,2672386.87946096
1991-10-01,2664751.81421678
1992-01-01,2672049.76263766
1992-04-01,2682144.87186076
1992-07-01,2681794.20919151
1992-10-01,2663657.3883203
1993-01-01,2650031.86312148
1993-04-01,2670046.78241701
1993-07-01,2694866.5401115
1993-10-01,2694143.50640781
1994-01-01,2686388.84875253
1994-04-01,2670413.844796
1994-07-01,2684043.60657644
1994-10-01,2704304.62930399
1995-01-01,2705265.56323147
1995-04-01,2692535.9831637
1995-07-01,2684563.62128064
1995-10-01,2694607.49076377
1996-01-01,2695411.4864859
1996-04-01,2706653.76658402
1996-07-01,2715244.58138475
1996-10-01,2715432.25679543
1997-01-01,2717770.67938291
1997-04-01,2721689.57638178
1997-07-01,2740068.24210115
1997-10-01,2759412.61369777
1998-01-01,2772586.40847801
1998-04-01,2795104.06669853
1998-07-01,2808667.17427942
1998-10-01,2811662.20596822
1999-01-01,2820277.8209621
1999-04-01,2835291.83665498
1999-07-01,2849759.89611708
1999-10-01,2862154.62382727
2000-01-01,2874389.38454754
2000-04-01,2885195.93090661
2000-07-01,2892105.78653451
2000-10-01,2908590.08039503
2001-01-01,2935989.10764562
2001-04-01,2948226.74841727
2001-07-01,2956454.83962009
2001-10-01,2971359.5655772
2002-01-01,2983076.34463775
2002-04-01,2988480.32254552
2002-07-01,3002751.80587866
2002-10-01,3005635.87407559
2003-01-01,2993505.10242867
2003-04-01,2991915.9123176
2003-07-01,2997722.27995691
2003-10-01,3007894.33480386
2004-01-01,3014631.66953516
2004-04-01,3020037.17893964
2004-07-01,3022278.5763165
2004-10-01,3026447.09999433
2005-01-01,3029455.26858164
2005-04-01,3033708.05328442
2005-07-01,3050947.50012233
2005-10-01,3063754.29266484
2006-01-01,3079790.82524142
2006-04-01,3096577.65793514
2006-07-01,3115228.01636259
2006-10-01,3138735.00645728
2007-01-01,3150720.80749567
2007-04-01,3167036.86171159
2007-07-01,3193267.17438947
2007-10-01,3218309.94607351
2008-01-01,3237776.56185963
2008-04-01,3257603.41531237
2008-07-01,3284435.49097774
2008-10-01,3300463.20762678
2009-01-01,3306322.01983518
2009-04-01,3313382.45508919
2009-07-01,3312013.21167265
2009-10-01,3304257.81498183
2010-01-01,3279196.7887311
2010-04-01,3318621.70948868
2010-07-01,3332978.1420698
2010-10-01,3341041.38941906
2011-01-01,3366838.97834526
2011-04-01,3397982.32551565
2011-07-01,3405670.12415481
2011-10-01,3442590.45740026
2012-01-01,3437509.36768627
2012-04-01,3459431.57406224
2012-07-01,3500078.51738264
2012-10-01,3504220.950543
2013-01-01,3503079.16452036
2013-04-01,3527267.74286857
2013-07-01,3539540.80806703
2013-10-01,3582154.46185362
2014-01-01,3549449.78249464
2014-04-01,3603048.47848248
2014-07-01,3606675.80225302
2014-10-01,3671847.12526696
2015-01-01,3655728.57078196
2015-04-01,3669888.39611781
2015-07-01,3669313.58426576
2015-10-01,3718736.38549363
2016-01-01,3725177.69361747
2016-04-01,3736214.74951256
2016-07-01,3754249.75529057
2016-10-01,3802235.78584066
2017-01-01,3785958.93218135
2017-04-01,3803857.055831
2017-07-01,3803762.22207407
2017-10-01,3841143.558973
2018-01-01,3825640.37186902
2018-04-01,3839322.23008759
2018-07-01,3866398.65970673
2018-10-01,3877166.03942527
2019-01-01,3856181.13320464
2019-04-01,3901737.86564084
2019-07-01,3896948.86164026
2019-10-01,3938152.04033974
2020-01-01,3910343.41131619
