time,value
2004-01-01,36209.0140389042
2004-04-01,36518.7750897477
2004-07-01,36688.8238909878
2004-10-01,36735.4735651326
2005-01-01,36819.5901097365
2005-04-01,37384.187954515
2005-07-01,37768.0469186847
2005-10-01,27979.3710035114
2006-01-01,28466.5664033405
2006-04-01,29930.6419295254
2006-07-01,29522.4673156851
2006-10-01,29019.3219446918
2007-01-01,28984.6646009379
2007-04-01,28748.6561703068
2007-07-01,28825.1117463194
2007-10-01,28868.4203052983
2008-01-01,28795.1898311255
2008-04-01,28686.6832045548
2008-07-01,28671.7653133602
2008-10-01,29021.9910157693
2009-01-01,29117.7852755682
2009-04-01,29456.5371535525
2009-07-01,30063.591937813
2009-10-01,30508.5614313536
2010-01-01,31222.5741533089
2010-04-01,31857.7151738813
2010-07-01,32371.3249575565
2010-10-01,32661.732527928
2011-01-01,32277.8518919638
2011-04-01,31248.8777891275
2011-07-01,30388.2064418283
2011-10-01,30409.7910689987
2012-01-01,30366.1594530281
2012-04-01,33297.7766073973
2012-07-01,34082.9273441229
2012-10-01,34460.6314610572
2013-01-01,34905.1769385566
2013-04-01,35049.826880639
2013-07-01,35701.9909638669
2013-10-01,36488.1126737107
2014-01-01,36924.4691273255
2014-04-01,37538.4911974531
2014-07-01,37670.3236488362
2014-10-01,37736.0543282391
2015-01-01,38362.7427012471
2015-04-01,39259.7765306446
2015-07-01,39198.221935134
2015-10-01,38903.8463411965
2016-01-01,39161.9790434784
2016-04-01,38718.1335294862
2016-07-01,38017.1048368388
2016-10-01,29516.8194837475
2017-01-01,42026.1310106573
2017-04-01,42620.0272307969
2017-07-01,42240.3927273336
2017-10-01,42502.079607825
2018-01-01,43349.3210585406
2018-04-01,43625.1747659276
2018-07-01,42980.8792306033
2018-10-01,43268.3906797451
2019-01-01,43167.8186999143
2019-04-01,43292.0782126007
2019-07-01,43721.50091003
2019-10-01,44308.1656747723
2020-01-01,44946.5319270344
2020-04-01,45147.0713741362
2020-07-01,44385.925660374
2020-10-01,42074.4629173323
2021-01-01,42764.4255607374
2021-04-01,42894.59819745
2021-07-01,41900.5623392796
2021-10-01,41336.377407347
2022-01-01,42064.4333304425
2022-04-01,42206.6026563186
2022-07-01,42152.3221900207
2022-10-01,41549.2896954194
2023-01-01,41780.6558732606
2023-04-01,40559.334063406
2023-07-01,39893.1631354997
2023-10-01,39937.7466645084
2024-01-01,40375.9830205229
2024-04-01,40024.7508978563
2024-07-01,39474.9365305525
2024-10-01,39228.2284026563
2025-01-01,38327.0377698727
2025-04-01,38410.6812928919
2025-07-01,38222.2042435636
2025-10-01,37491.2548644693
2026-01-01,37324.4528170339
2026-04-01,37087.3893208428
2026-07-01,36977.7263258091
2026-10-01,36291.5505589069
2027-01-01,35885.7107166514
2027-04-01,35829.7853188609
2027-07-01,36200.2708248449
2027-10-01,36516.2041600451
2028-01-01,36527.0027362889
2028-04-01,36577.8806433428
2028-07-01,36818.7237649556
2028-10-01,36866.2270131719
2029-01-01,36480.8069303368
2029-04-01,36396.139647265
2029-07-01,36392.6213444026
2029-10-01,36152.2713359562
2030-01-01,36253.6170346402
2030-04-01,36500.6707362359
2030-07-01,36405.7853892607
2030-10-01,36344.6546440944
2031-01-01,36173.373421732
2031-04-01,35715.6153523797
2031-07-01,35628.5135195969
2031-10-01,35813.2278686791
2032-01-01,35880.7776143041
2032-04-01,36192.026830241
2032-07-01,36215.2016880944
2032-10-01,35957.9628159704
2033-01-01,35853.6783810189
